SynapseID,FromSegmentID,ToSegmentID,xPosition,yPosition,zPosition
1,16492,10017,26.64,48.02,31.38
2,13837,14807,32.74,50.93,31.41
3,13723,13212,30.5,52.1,31.44
4,13832,10016,39.6,55.13,31.47
5,16236,10016,21.31,47.28,31.44
6,14194,10017,28.25,49.97,31.41
7,13871,13187,30.31,51.14,31.56
8,14140,13506,30.67,54.12,31.44
9,14139,13192,30.84,52.46,31.41
10,13837,14807,34.99,52.32,31.53
11,14119,13199,34.94,55.44,31.47
12,16260,16178,18.79,46.37,31.5
13,13832,13202,39.6,55.73,31.47
14,14061,16673,20.93,48.72,31.65
15,13880,13222,28.27,49.01,31.56
16,13740,14805,31.49,50.69,31.5
17,13779,14806,32.28,50.11,31.68
18,16262,16673,18.38,45.19,31.71
19,16262,16673,18.77,44.9,31.68
20,16668,16263,25.54,47.52,31.53
21,13692,13190,34.06,53.42,31.89
22,14098,13202,37.63,54.53,31.53
23,13762,10018,29.95,54.26,31.53
24,15074,13191,33.29,50.52,31.62
25,14091,14805,34.87,51.07,31.59
26,13864,10018,37.18,56.28,31.92
27,14220,13225,41.06,54.43,31.62
28,16351,16639,18.14,45.89,31.68
29,16230,10016,24.46,50.4,31.59
30,13685,13191,31.3,52.42,31.59
31,13837,10017,35.02,52.99,31.86
32,13686,10017,30.05,51.31,32.58
33,15809,10017,24,48.17,32.85
34,13761,13191,34.39,52.01,32.82
35,16330,10016,24.72,54.07,33.33
36,14552,13220,27.84,47.45,33.06
37,13686,10016,29.16,51.43,32.97
38,16319,16576,19.25,44.83,32.94
39,16512,16361,21.94,44.71,33
40,13724,10016,30.14,52.68,32.97
41,13985,14818,41.02,52.32,32.94
42,15703,16673,18.31,47.21,32.97
43,16681,10016,23.38,45,33
44,14007,10018,27.62,52.85,32.97
45,14162,14804,32.86,49.22,33.06
46,13833,13190,37.22,54.91,32.97
47,13761,13154,37.94,55.8,32.94
48,15287,14807,39.43,50.21,33.27
49,16255,16661,19.87,44.38,32.97
50,13685,14803,34.92,50.47,33.15
51,13725,10017,28.97,52.85,33.24
52,13787,14804,30.34,48.91,32.97
53,13703,13191,32.04,52.94,33.09
54,14083,13181,33.5,49.66,33.18
55,14156,14805,27.24,48.82,33.06
56,14067,10018,27.62,51.82,33.03
57,14033,10016,30.74,54.62,33.06
58,14105,13154,39,58.18,33.24
59,14499,13198,27.34,47.78,33.09
60,14151,13192,41.54,51.24,33.12
61,14207,10014,25.22,51.12,33.03
62,13753,10016,27.53,50.04,33.15
63,14013,13187,27.7,50.64,33.15
64,13773,13220,28.63,51.94,33.09
65,14100,12323,35.14,56.98,33.03
66,13712,13186,36.77,55.18,33.09
67,16303,10013,17.86,49.73,33.12
68,13709,13196,35.59,53.71,33.12
69,13941,14651,32.38,47.18,34.41
70,16159,16673,21.19,46.58,34.35
71,13837,10017,36.5,57.6,34.47
72,15269,14804,32.42,48.19,34.56
73,13929,13192,26.93,53.45,34.41
74,13968,13202,36.55,55.94,34.41
75,13688,10016,31.61,54.65,34.41
76,16370,16263,22.63,46.61,34.53
77,16280,10016,18.24,48.67,34.56
78,13716,10016,33.24,54.24,34.59
79,16259,10016,19.25,50.59,34.5
80,16449,10014,24.5,53.98,34.5
81,14496,16263,25.87,47.04,34.59
82,16492,14429,25.97,48.62,34.5
83,10866,10013,27.22,54.12,34.5
84,13836,10017,29.71,53.21,34.62
85,13923,13191,31.94,50.5,34.5
86,14466,13213,37.56,47.98,34.77
87,16391,16576,17.69,49.61,34.53
88,11399,13220,23.69,50.64,34.53
89,16160,13187,24.98,51.31,34.65
90,13891,10017,33.02,56.18,34.68
91,13884,13192,33.96,51.5,34.53
92,14019,13154,36.55,56.95,34.5
93,14066,16163,25.39,48.67,34.53
94,14035,13206,29.42,54,34.59
95,13740,13191,30.86,50.86,34.62
96,14033,10013,31.87,55.73,34.53
97,14635,12323,35.04,57.29,34.53
98,13909,13190,36.24,55.15,34.56
99,13833,10017,37.44,57.19,34.53
100,16430,16178,21.41,45.31,34.56
101,14034,13188,30.96,55.39,34.56
102,14687,14651,36.14,47.95,34.59
103,16318,13154,17.83,48.41,34.65
104,14463,13218,25.85,52.3,34.62
105,14009,13217,28.15,54.17,34.62
106,15666,15502,28.39,46.06,34.68
107,13969,13182,35.28,56.57,34.68
108,13960,10016,37.7,51.41,34.65
109,16414,16192,20.45,44.66,35.88
110,13768,13191,33.17,50.26,35.94
111,13876,10013,27.38,51.77,35.91
112,13998,13227,39.46,56.9,35.88
113,13702,10016,31.7,53.42,35.94
114,10866,10016,24.91,51.62,35.88
115,13818,13191,36,51.74,36
116,13830,13192,36.31,54.86,35.88
117,13744,10014,27.6,49.61,35.94
118,16018,13192,41.06,48.58,36.03
119,13957,10013,39.41,56.45,35.94
120,13979,10016,39.62,52.87,36
121,16575,16211,18.38,43.25,36
122,16362,16670,19.54,47.69,36.03
123,13846,13181,33.74,52.85,36
124,16684,16552,17.93,49.46,36
125,16356,16367,21.96,48.43,35.97
126,13836,10016,26.57,52.46,35.97
127,13758,10013,31.94,53.98,35.97
128,13718,10013,34.37,54.46,36
129,13831,14651,34.73,50.28,35.94
130,14466,14651,42.34,50.11,35.97
131,14156,16639,20.23,45.96,36.03
132,14064,13206,30.6,50.16,36
133,13829,13189,37.46,53.38,36
134,14466,13213,34.3,49.27,36.3
135,13814,10016,35.06,52.01,36.03
136,15694,14803,35.81,46.54,36.09
137,13901,13198,28.37,51.24,36.06
138,13713,13198,30.43,49.49,36.09
139,14095,12323,31.42,55.44,36
140,13976,13197,38.69,51.58,36
141,14872,13189,39.89,53.4,36
142,13785,13198,29.9,49.03,36.03
143,14968,13202,32.09,54.82,36.09
144,14513,14803,32.16,47.47,36.06
145,13790,13201,36.43,53.59,36.09
146,13838,10016,38.69,54.31,36.06
147,16694,16476,18.43,45.74,36.06
148,16217,10018,19.9,51.12,36.09
149,15714,10014,28.63,44.9,36.18
150,14228,14651,30.7,46.8,36.06
151,14025,13198,30.84,53.95,36.09
152,13790,13188,34.9,54.62,36.09
153,13829,13190,37.7,53.45,36.09
154,13685,13211,38.54,48.58,36.03
155,16336,10016,16.9,44.88,36.15
156,16706,14802,18.77,48.91,36.3
157,15867,10016,21.26,50.14,36.18
158,14045,10016,25.68,50.9,36.09
159,13843,13127,28.22,48.6,36.12
160,15425,15331,29.52,45.62,36.39
161,14080,14808,30.53,48.38,36.12
162,13820,13213,35.11,52.2,37.56
163,15205,15129,37.75,49.08,37.32
164,16634,16531,18.07,44.5,37.41
165,13687,13206,31.1,51.72,37.47
166,15567,15577,37.68,47.35,37.83
167,11399,10016,30.7,53.57,37.47
168,13824,12531,41.45,49.03,37.56
169,14064,10014,30.02,50.06,37.59
170,13791,13184,41.04,54.58,37.41
171,13848,10016,19.46,47.71,37.53
172,16373,16367,19.68,45.96,37.5
173,14063,13187,25.06,50.69,37.53
174,13734,14802,30.17,53.35,37.47
175,13912,14801,33.72,50.93,37.53
176,13851,13197,35.21,55.2,37.62
177,13791,10014,37.99,53.76,37.5
178,13824,14802,38.18,55.56,37.5
179,15317,10014,31.61,45.79,37.56
180,16209,16367,21.55,46.85,37.77
181,14041,13187,25.9,51.31,37.59
182,14046,13229,26.66,51.34,37.59
183,13900,15217,31.03,46.63,37.65
184,13731,14803,31.99,50.04,37.62
185,14513,13213,33.34,50.14,37.53
186,13788,14801,37.99,52.51,37.53
187,15704,15155,31.25,45.62,37.62
188,15195,13230,38.57,49.94,37.83
189,13960,15156,39.79,49.3,37.56
190,16182,16552,20.11,48.65,37.59
191,16437,10016,21.62,49.25,37.62
192,14572,13229,28.7,44.95,37.68
193,13923,10014,28.7,49.42,37.68
194,15207,13227,30.22,45.77,37.62
195,15100,13214,40.9,52.94,37.62
196,16619,16673,18.41,45.6,38.61
197,14470,13228,28.8,46.73,38.82
198,15570,15331,30.31,44.38,38.79
199,15212,13214,39.41,53.28,38.97
200,15989,13226,41.26,53.59,39.12
201,15651,13225,41.95,50.54,38.91
202,15396,15129,32.74,49.66,38.91
203,15976,15502,29.62,44.14,38.94
204,15298,14801,32.35,49.1,39.03
205,15397,14801,29.18,47.86,38.97
206,15393,14651,32.78,47.28,39.03
207,15231,14801,36.96,48.82,39.12
208,14050,13189,38.98,49.75,39.06
209,15267,13229,29.45,46.56,39.33
210,15683,10014,37.56,49.51,39.15
211,15692,13225,37.51,48.36,39.03
212,15344,13189,38.45,49.37,39.06
213,15765,15577,34.22,47.86,39.09
214,13861,13213,35.04,51.34,39.12
215,15749,13189,38.26,49.85,39.09
216,15233,15599,31.73,49.85,40.23
217,15797,10014,28.2,48.05,40.41
218,16042,10014,33.58,49.94,40.41
219,13772,15488,27.94,49.01,40.5
220,14504,14801,29.02,49.1,40.5
221,15316,15531,31.37,48.74,40.53
222,16179,10018,23.26,49.97,30.48
223,16675,16258,23.81,50.35,30.6
224,16523,10018,21.62,49.66,30.66
225,14745,10017,29.59,50.62,30.81
226,14188,16555,23.14,48.38,30.66
227,16430,10017,21.34,49.03,30.75
228,14575,13198,26.69,49.44,30.72
229,13834,10017,36.55,52.85,31.2
230,16281,16407,22.37,48.82,30.9
231,13836,13182,33,53.04,30.84
232,16666,14805,22.18,49.7,30.87
233,16537,14805,23.02,49.37,30.9
234,14259,10016,31.94,51.05,30.99
235,14119,13211,35.54,52.99,31.08
236,14099,10017,37.42,54.36,31.02
237,14553,14120,39.53,56.59,31.47
238,14188,16359,24.55,50.4,30.93
239,14061,13191,30.82,53.06,30.99
240,14093,13203,33.84,52.97,30.99
241,14455,14538,27.38,48.48,31.38
242,14239,13154,32.5,54.41,31.17
243,13836,13506,33,53.66,30.96
244,13837,13199,34.58,52.03,31.05
245,16260,16576,20.98,46.78,30.99
246,13952,10016,38.9,55.58,31.23
247,16389,14805,20.5,49.49,31.02
248,16176,16407,21.22,49.9,31.02
249,13754,13154,29.66,52.92,31.11
250,13752,10016,30.96,51.38,31.05
251,14555,10016,28.13,49.37,31.11
252,13897,14812,29.98,53.23,31.05
253,14093,14805,34.1,51.67,31.11
254,16318,16573,19.34,48.58,31.17
255,14778,13198,26.57,49.08,31.08
256,13896,14805,29.88,50.71,31.17
257,14545,13212,29.71,50.14,31.17
258,13761,13199,33.36,52.56,31.23
259,16349,10016,25.99,47.69,31.23
260,13897,10017,30.07,53.74,31.17
261,14453,13192,26.69,52.99,31.26
262,13960,14803,34.75,51.46,31.32
263,13752,13222,29.3,50.54,31.29
264,14232,10018,40.73,56.33,31.29
265,13810,13212,32.09,52.9,31.32
266,14058,13196,37.49,55.18,31.35
267,16339,16497,19.2,49.22,31.32
268,13836,13154,32.21,53.93,31.29
269,14092,13212,32.62,53.98,31.32
270,16298,10017,20.59,47.3,31.35
271,16372,15502,22.66,46.2,31.38
272,14273,13192,27.46,53.21,31.38
273,14207,10018,24.22,52.37,31.41
274,16289,10017,23.3,49.9,31.44
275,16236,16178,20.98,47.06,31.47
276,14462,10017,29.95,51.5,31.44
277,13880,10016,28.01,49.37,31.35
278,16307,10018,19.03,48.55,31.62
279,14097,13506,36.94,54.12,31.74
280,13720,13182,32.26,50.74,31.71
281,14004,13181,38.74,54.77,31.74
282,14220,10017,40.73,54.5,31.8
283,16339,14812,18.98,49.56,31.68
284,14001,13202,39.72,53.66,32.01
285,14159,14804,31.32,49.58,31.74
286,15074,10016,33.41,50.74,31.71
287,16666,15502,21.79,48.48,31.83
288,13737,13192,28.44,53.11,31.77
289,13875,13542,28.94,53.35,31.77
290,13685,13192,31.32,52.61,31.77
291,14259,13192,31.34,50.35,31.74
292,13883,13210,34.1,51.1,31.8
293,13834,14803,36.62,52.08,31.77
294,16666,14805,21.19,47.88,31.89
295,16628,10018,21.98,51.6,31.86
296,16581,16263,23.21,47.69,31.8
297,16327,16178,23.47,45.84,31.92
298,14016,10018,24.19,49.85,31.77
299,13725,13154,31.58,52.99,31.86
300,14152,13200,40.85,55.34,31.89
301,14016,16497,22.27,46.49,31.83
302,13932,13212,28.85,50.26,31.83
303,13724,14805,28.85,51.07,31.89
304,13692,13506,33.96,54.24,32.28
305,16339,16576,18.79,49.32,31.83
306,13723,14805,30.34,50.52,31.83
307,13739,10017,35.52,52.87,31.89
308,16395,16670,18.7,46.22,31.92
309,14008,10017,30.22,54.26,31.92
310,13764,10016,34.44,52.61,32.07
311,16193,16568,19.22,50.21,32.07
312,14130,13181,39.19,56.23,32.01
313,14407,10016,40.3,57.1,32.07
314,16226,10018,17.57,48.6,32.04
315,14070,10018,29.64,53.78,31.98
316,14220,13225,41.28,54.24,32.04
317,15757,16211,16.99,45.53,31.95
318,16413,16227,18.12,44.28,32.07
319,16583,16234,20.18,47.74,32.22
320,14187,14812,26.4,51.6,32.01
321,13837,10017,32.02,52.66,32.22
322,14093,13199,32.83,55.06,32.1
323,16299,14805,17.78,46.9,32.07
324,13983,13204,38.78,51.91,32.1
325,14219,10018,40.1,56.42,32.07
326,14110,10018,30.74,54.79,32.07
