synid,voxelcount,prob,neuron,type
1,1059,0.4966949952785647,10017,2
1,1059,0.05760151085930123,14262,0
1,1059,0.4457034938621341,16492,1
2,991,0.5297679112008072,14807,2
2,991,0.47023208879919276,13837,1
3,1118,0.5313059033989267,13212,2
3,1118,0.46869409660107336,13723,1
4,1105,0.6515837104072398,10016,2
4,1105,0.34841628959276016,13832,1
5,586,0.0034129692832764505,10016,2
5,586,0.6040955631399317,10016,2
5,586,0.3924914675767918,16236,1
6,401,0.428927680798005,10017,2
6,401,0.571072319201995,14194,1
7,845,0.463905325443787,13187,2
7,845,0.5360946745562131,13871,1
8,292,0.4828767123287671,13506,2
8,292,0.5171232876712328,14140,1
9,224,0.42857142857142855,13192,2
9,224,0.5669642857142857,14139,1
9,224,0.004464285714285714,14307,0
10,800,0.4925,14807,2
10,800,0.5075,13837,1
11,301,0.006644518272425249,13154,2
11,301,0.5415282392026578,13199,2
11,301,0.45182724252491696,14119,1
12,411,0.3844282238442822,16178,2
12,411,0.6009732360097324,16260,1
12,411,0.0072992700729927005,16576,2
12,411,0.0072992700729927005,16673,2
13,116,0.46551724137931033,13202,2
13,116,0.5344827586206896,13832,1
14,3209,0.557494546587722,14061,1
14,3209,0.0003116235587410408,16157,1
14,3209,0.006544094733561857,16257,0
14,3209,0.43564973511997507,16673,2
15,541,0.5286506469500925,13222,2
15,541,0.4713493530499076,13880,1
16,132,0.5227272727272727,14805,2
16,132,0.4772727272727273,13740,1
17,680,0.47941176470588237,14806,2
17,680,0.5205882352941177,13779,1
18,2263,0.4692885550154662,16262,1
18,2263,0.0008837825894829872,16464,1
18,2263,0.04197967300044189,16617,2
18,2263,0.48784798939460894,16673,2
19,43,0.4883720930232558,16262,1
19,43,0.5116279069767442,16673,2
20,261,0.0038314176245210726,16178,2
20,261,0.4674329501915709,16263,2
20,261,0.007662835249042145,16349,1
20,261,0.5210727969348659,16668,1
21,2961,0.5254981425194191,13190,2
21,2961,0.4745018574805809,13692,1
22,267,0.5168539325842697,13202,2
22,267,0.48314606741573035,14098,1
23,126,0.40476190476190477,10018,2
23,126,0.5952380952380952,13762,1
24,299,0.3110367892976589,13191,2
24,299,0.6889632107023411,15074,1
25,168,0.5714285714285714,14091,1
25,168,0.42857142857142855,14805,2
26,1119,0.5245755138516532,10018,2
26,1119,0.47542448614834676,13864,1
27,398,0.4723618090452261,13225,2
27,398,0.010050251256281407,14130,1
27,398,0.5175879396984925,14220,1
28,387,0.007751937984496124,14805,2
28,387,0.6046511627906976,16351,1
28,387,0.002583979328165375,16582,1
28,387,0.3850129198966408,16639,2
29,128,0.421875,10016,2
29,128,0.578125,16230,1
30,82,0.6219512195121951,13191,2
30,82,0.3780487804878049,13685,1
31,1082,0.49722735674676527,10017,2
31,1082,0.5018484288354899,13837,1
31,1082,0.0009242144177449168,14283,0
32,1843,0.47965274009766684,10017,2
32,1843,0.5203472599023331,13686,1
33,1482,0.5573549257759784,10017,2
33,1482,0.009446693657219974,14345,0
33,1482,0.4331983805668016,15809,1
34,1390,0.4366906474820144,13191,2
34,1390,0.5633093525179856,13761,1
35,1735,0.5602305475504322,10016,2
35,1735,0.4397694524495677,16330,1
36,107,0.102803738317757,13220,2
36,107,0.45794392523364486,13220,2
36,107,0.037383177570093455,14552,1
36,107,0.028037383177570093,14563,0
36,107,0.37383177570093457,14552,1
37,907,0.5667034178610805,10016,2
37,907,0.43329658213891953,13686,1
38,534,0.4400749063670412,16319,1
38,534,0.5599250936329588,16576,2
39,925,0.6064864864864865,16361,2
39,925,0.38594594594594595,16512,1
39,925,0.003243243243243243,16517,1
39,925,0.004324324324324324,16671,2
40,707,0.5502121640735502,10016,2
40,707,0.4497878359264498,13724,1
41,145,0.496551724137931,14818,2
41,145,0.503448275862069,13985,1
42,465,0.4946236559139785,15703,1
42,465,0.002150537634408602,16257,0
42,465,0.5032258064516129,16673,2
43,96,0.3854166666666667,10016,2
43,96,0.010416666666666666,16405,2
43,96,0.6041666666666666,16681,1
44,230,0.46956521739130436,10018,2
44,230,0.5304347826086957,14007,1
45,341,0.5630498533724341,14804,2
45,341,0.436950146627566,14162,1
46,289,0.47058823529411764,13190,2
46,289,0.5294117647058824,13833,1
47,216,0.4537037037037037,13154,2
47,216,0.5462962962962963,13761,1
48,42,0.35714285714285715,15287,1
48,42,0.6428571428571429,14807,2
49,246,0.0040650406504065045,16192,2
49,246,0.3780487804878049,16255,1
49,246,0.036585365853658534,16293,1
49,246,0.5813008130081301,16661,2
50,970,0.477319587628866,14803,2
50,970,0.522680412371134,13685,1
51,1630,0.45950920245398774,10017,2
51,1630,0.5404907975460123,13725,1
52,107,0.3644859813084112,14804,2
52,107,0.6355140186915887,13787,1
53,546,0.38095238095238093,13191,2
53,546,0.005494505494505495,14262,0
53,546,0.6135531135531136,13703,1
54,1060,0.5320754716981132,13181,2
54,1060,0.4679245283018868,14083,1
55,483,0.45134575569358176,14805,2
55,483,0.5196687370600414,14156,1
55,483,0.028985507246376812,14498,1
56,176,0.42613636363636365,10018,2
56,176,0.5738636363636364,14067,1
57,132,0.5909090909090909,10016,2
57,132,0.4090909090909091,14033,1
58,148,0.5675675675675675,13154,2
58,148,0.43243243243243246,14105,1
59,191,0.031413612565445025,13198,2
59,191,0.5287958115183246,13198,2
59,191,0.4397905759162304,14499,1
60,562,0.47153024911032027,14151,1
60,562,0.5284697508896797,13192,2
61,100,0.6,10014,2
61,100,0.01,13220,2
61,100,0.37,14207,1
61,100,0.02,14345,0
62,371,0.46900269541778977,10016,2
62,371,0.5309973045822103,13753,1
63,249,0.008032128514056224,14247,1
63,249,0.46586345381526106,13187,2
63,249,0.5261044176706827,14013,1
64,168,0.7440476190476191,13220,2
64,168,0.25,13773,1
64,168,0.005952380952380952,14310,0
65,16,0.625,12323,2
65,16,0.375,14100,1
66,140,0.5428571428571428,13186,2
66,140,0.45714285714285713,13712,1
67,97,0.422680412371134,10013,2
67,97,0.010309278350515464,16176,1
67,97,0.010309278350515464,16257,0
67,97,0.5567010309278351,16303,1
68,225,0.52,13196,2
68,225,0.48,13709,1
69,989,0.5328614762386249,13941,1
69,989,0.4671385237613751,14651,2
70,2566,0.5159781761496492,16159,1
70,2566,0.48402182385035075,16673,2
71,1372,0.510932944606414,10017,2
71,1372,0.489067055393586,13837,1
72,1434,0.5843793584379359,14804,2
72,1434,0.41562064156206413,15269,1
73,697,0.46628407460545196,13192,2
73,697,0.533715925394548,13929,1
74,748,0.5320855614973262,13202,2
74,748,0.4679144385026738,13968,1
75,744,0.4959677419354839,10016,2
75,744,0.5040322580645161,13688,1
76,1015,0.4600985221674877,16263,2
76,1015,0.5399014778325123,16370,1
77,511,0.35812133072407043,10016,2
77,511,0.6418786692759295,16280,1
78,768,0.5625,10016,2
78,768,0.4375,13716,1
79,121,0.4462809917355372,10016,2
79,121,0.5537190082644629,16259,1
80,165,0.34545454545454546,10014,2
80,165,0.006060606060606061,14137,1
80,165,0.6484848484848484,16449,1
81,511,0.0958904109589041,14496,1
81,511,0.38551859099804303,14496,1
81,511,0.5185909980430529,16263,2
82,269,0.026022304832713755,13228,2
82,269,0.5018587360594795,14429,2
82,269,0.040892193308550186,14437,0
82,269,0.4312267657992565,16492,1
83,169,0.5266272189349113,10013,2
83,169,0.47337278106508873,10866,1
84,528,0.4412878787878788,10017,2
84,528,0.5587121212121212,13836,1
85,196,0.42857142857142855,13191,2
85,196,0.5714285714285714,13923,1
86,306,0.4150326797385621,14466,1
86,306,0.5849673202614379,13213,2
87,183,0.08196721311475409,11039,2
87,183,0.04371584699453552,16242,1
87,183,0.546448087431694,16391,1
87,183,0.00546448087431694,16551,1
87,183,0.31693989071038253,16576,2
87,183,0.00546448087431694,16684,1
88,224,0.5044642857142857,11399,1
88,224,0.49107142857142855,13220,2
88,224,0.004464285714285714,16243,2
89,548,0.02737226277372263,13187,2
89,548,0.3813868613138686,13187,2
89,548,0.5912408759124088,16160,1
90,1124,0.4902135231316726,10017,2
90,1124,0.5097864768683275,13891,1
91,163,0.49079754601226994,13192,2
91,163,0.50920245398773,13884,1
92,135,0.4,13154,2
92,135,0.6,14019,1
93,125,0.24,14066,1
93,125,0.016,14437,0
93,125,0.744,16163,2
94,253,0.5573122529644269,13206,2
94,253,0.4426877470355731,14035,1
95,274,0.5401459854014599,13191,2
95,274,0.45985401459854014,13740,1
96,130,0.6,10013,2
96,130,0.4,14033,1
97,84,0.2857142857142857,12323,2
97,84,0.7142857142857143,14635,1
98,208,0.5384615384615384,13190,2
98,208,0.46153846153846156,13909,1
99,87,0.3333333333333333,10017,2
99,87,0.6666666666666666,13833,1
100,83,0.5301204819277109,16178,2
100,83,0.024096385542168676,16298,1
100,83,0.3855421686746988,16430,1
100,83,0.04819277108433735,16477,1
100,83,0.012048192771084338,16678,1
101,45,0.37777777777777777,13188,2
101,45,0.6222222222222222,14034,1
102,76,0.42105263157894735,14687,1
102,76,0.5789473684210527,14651,2
103,301,0.0033222591362126247,10016,2
103,301,0.5149501661129569,13154,2
103,301,0.48172757475083056,16318,1
104,151,0.08609271523178808,13218,2
104,151,0.5364238410596026,14463,1
104,151,0.37748344370860926,13218,2
105,201,0.472636815920398,13217,2
105,201,0.527363184079602,14009,1
106,423,0.508274231678487,15502,2
106,423,0.491725768321513,15666,1
107,459,0.41830065359477125,13182,2
107,459,0.5816993464052288,13969,1
108,232,0.5732758620689655,10016,2
108,232,0.41810344827586204,13960,1
108,232,0.008620689655172414,14384,0
109,1956,0.6257668711656442,16192,2
109,1956,0.37372188139059304,16414,1
109,1956,0.0005112474437627812,16463,1
110,1532,0.47845953002610964,13191,2
110,1532,0.5215404699738904,13768,1
111,1129,0.4818423383525244,10013,2
111,1129,0.5181576616474757,13876,1
112,841,0.5945303210463734,13227,2
112,841,0.4054696789536266,13998,1
113,1004,0.5229083665338645,10016,2
113,1004,0.4770916334661355,13702,1
114,853,0.5416178194607268,10016,2
114,853,0.45838218053927315,10866,1
115,1357,0.5372144436256449,13191,2
115,1357,0.4627855563743552,13818,1
116,663,0.46003016591251883,13192,2
116,663,0.5399698340874811,13830,1
117,378,0.47883597883597884,10014,2
117,378,0.5211640211640212,13744,1
118,150,0.8266666666666667,13192,2
118,150,0.17333333333333334,16018,1
119,233,0.5150214592274678,10013,2
119,233,0.48497854077253216,13957,1
120,804,0.5559701492537313,10016,2
120,804,0.44402985074626866,13979,1
121,939,0.5197018104366348,16211,2
121,939,0.0010649627263045794,16397,1
121,939,0.4792332268370607,16575,1
122,1182,0.4780033840947547,16362,1
122,1182,0.5219966159052454,16670,2
123,641,0.0031201248049922,10016,2
123,641,0.47737909516380655,13181,2
123,641,0.5195007800312013,13846,1
124,479,0.0041753653444676405,10013,2
124,479,0.006263048016701462,16281,1
124,479,0.5636743215031316,16552,2
124,479,0.42588726513569936,16684,1
